"number","vendor","model","URL","name","type","diameter","cornerradius","flutelength","shaftdiameter","angle","numflutes","stickout","coating","metric","notes","machine","material","plungerate","feedrate","rpm","depth","cutpower","finishallowance","3dstepover","3dfeedrate","3drpm"
72,"IDC Woodcraft","OF-18","https://idcwoodcraft.com/products/1-8-0-flute-bit-for-acrylic-cnc-router-1-8-shank-premium?ref=app","1/8"" Acrylic O Flute","end",0.125,0,0.5,0,0,1,0.8,,0,"This is your 1/8″ bit to create those amazing LED-lit acrylic projects you’ve been wanting to make. Get the fine detail with this smaller bit so that sign really stands out. ",,,15,60,17000,0.125,,0.0125,65,60,17000
71,"IDC Woodcraft","OF-116","https://idcwoodcraft.com/products/1-16-acrylic-router-bit-for-for-cnc-routers-1-8-shank?ref=app","1/16"" Acrylic O Flute","end",0.0625,0,0.25,0,0,1,0.5,,0,"This is your 1/16″ O-flute bit to add the amazingly fine details to your LED-lit acrylic projects you’ll be making on your CNC router. Get the fine detail with this smaller bit so that sign really stands out.",,,30,45,22000,0.03125,,0.0125,65,45,22000
26,"IDC Woodcraft","CM-18","https://idcwoodcraft.com/products/1-8-compression-bit-for-cnc-routers-1-8-shank?ref=app","1/8"" Compression","end",0.125,0,0.875,0,0,2,1.1,,0,"The 1/8″ compression endmill bit (also known as an up/down bit) is a unique bit for CNC routers. It allows you to cut finer details and will perfectly cut out your project while leaving both the top and bottom edges of your project clean (eliminates tear-out on top and bottom).",,,35,50,16000,0.125,,0.0125,40,50,16000
7,"IDC Woodcraft","XD-14","https://idcwoodcraft.com/products/long-1-4-router-bit-for-cnc-trim-routers-1-4-shank?ref=app","Long 1/4"" Downcut ","end",0.25,0,1.75,0,0,2,2.3,,0,"This long 1/4″ CNC router bit gives you a full 1-3/4″ cut! Great for guitar bodies, keepsake boxes, and unusually thick CNC router wood projects, such as deep 3D carvings or recessed work. ",,,15,40,14000,0.25,,0.025,40,40,14000
1,"IDC Woodcraft","DC-132","https://idcwoodcraft.com/products/high-detail-1-32-down-cut-endmill-bit-for-cnc-routers-1-8-shank?ref=app","1/32"" Downcut","end",0.03125,0,0.1875,0,0,2,0.4,,0,"The micro-detail 1/32″ down-cutting endmill bit is the CNC’ers magic to refined CNC router projects. Solid carbide.",,,7,10,27000,0.015,,0.0125,40,10,27000
61,"IDC Woodcraft","TBN-1","https://idcwoodcraft.com/products/ultra-high-detail-3d-carving-taper-ball-nose-bit-for-cnc-routers-1-4-shank?ref=app","1/4"" Ultra-High Detail Tapered Ball Nose",,0.25,0.015,0.75,0,20,2,1,,0,"Get extremely fine detail in your amazing 3D carves with this taper ball nose endmill router bit for CNC routers. It is designed to give you extremely fine detailed carvings on your CNC router.",,,25,60,19000,0.25,,0.025,1,60,19000
4,"IDC Woodcraft","DC-316","https://idcwoodcraft.com/products/3-16-down-cutting-endmill-bit-for-cnc-routers-1-4-shank?ref=app","3/16"" Downcut","end",0.1875,0,1,0,0,2,1.75,,0,"The 3/16″ CNC router bit… The Silver Bullet of CNC router bits. That’s because it’s used to do both 1/8″ and 1/4″ work, saving the need for 2 different size bits.",,,30,30,19000,0.25,,0.025,40,30,19000
12,"IDC Woodcraft","BEAST","https://idcwoodcraft.com/BEAST","""THE BEAST"" 1/4"" Roughing Upcut ","end",0.25,0,1,0,0,3,1.8,,0,"If you’re tired of spending hours while you wait on your CNC router to remove material from your CNC woodworking projects, then you’ve come to the right bit.  Welcome to the aptly nicknamed ""BEAST"", a 1/4"" hyper-speed CNC router bit from IDC Woodcraft, the ultimate solution for lightning-fast material removal.",,,80,100,22000,0.75,,0.025,80,100,22000
2,"IDC Woodcraft","DC-116","https://idcwoodcraft.com/products/1-16-down-cut-endmill-bit-for-cnc-routers-for-fine-detail-carving-1-8-shank?ref=app","1/16"" Downcut","end",0.0625,0,0.25,0,0,2,0.6,,0,"The CNC’ers seriously fine-detail 1/16″ down-cutting endmill bit is the “Let’s get some detail in this puppy” type of bit for your CNC router projects.",,,10,20,27000,0.032,,0.0125,40,20,27000
6,"IDC Woodcraft","XD-18","https://idcwoodcraft.com/products/long-1-8-router-bit-endmill-for-cnc-routers-1-8-shank?ref=app","Extended 1/8"" Downcut","end",0.125,0,1,0,0,2,1.5,,0,"This long 1/8″ CNC router bit gives you more creative ability to design and cut thicker projects you otherwise couldn’t do. And you can design with more detail due to the smaller bit diameter. Think keepsake boxes and Aztec calendars with much more detail and depth!",,,15,30,14000,0.05,,0.0125,40,30,14000
47,"IDC Woodcraft","BN-18","https://idcwoodcraft.com/products/1-8-ball-nose-endmill-bit-for-3d-carving-1-8-shank?ref=app","1/8"" Ball Nose","ball",0.125,0,0.5,0,0,2,0.9,,0,"This “Straight 8” 1/8″ solid carbide ball-nose endmill bit is your alternate 3D carving bit when you want speed in your CNC router project.",,,15,60,22000,0.05,,0.0125,8,60,22000
